,stop_lat,stop_lon,members,stop_id
0,-34.515093,-58.743295,"[np.float64(6412102893.0), np.float64(6412102895.0), np.float64(6412102894.0), np.float64(6412122178.0), np.float64(6412113539.0), np.float64(6412113538.0), np.float64(6412126707.0), np.float64(6412103600.0), np.float64(6412102542.0), np.float64(6412101795.0), np.float64(6412107721.0), np.float64(6412113862.0)]",
1,-34.627503,-58.381543,"[np.float64(201854.0), np.float64(206597.0), np.float64(206595.0), np.float64(201842.0), np.float64(206600.0), np.float64(201855.0), np.float64(206601.0), np.float64(201843.0), np.float64(201853.0), np.float64(201841.0)]",
2,-34.591912,-58.3746,"[np.float64(204196.0), np.float64(204208.0), np.float64(204197.0), np.float64(204207.0), np.float64(204195.0), np.float64(204209.0), np.float64(204189.0), np.float64(204198.0), np.float64(204188.0), np.float64(204199.0), np.float64(204210.0), np.float64(204193.0), np.float64(204194.0), np.float64(204211.0), np.float64(204192.0), np.float64(204191.0)]",
3,-34.589827,-58.373012,"[np.float64(204235.0), np.float64(2033038.0), np.float64(204220.0), np.float64(204219.0), np.float64(204234.0), np.float64(204221.0), np.float64(2031254.0), np.float64(204238.0), np.float64(204236.0), np.float64(204237.0)]",
4,-34.690033,-58.68885,"[np.float64(6539108977.0), np.float64(6539108978.0), np.float64(6539108976.0), np.float64(6539100807.0), np.float64(6539100808.0), np.float64(6539116007.0), np.float64(6539116006.0), np.float64(6539110993.0), np.float64(6539110994.0)]",
5,-34.56489,-58.610357,"[np.float64(6840108143.0), np.float64(6840108144.0), np.float64(6840128996.0), np.float64(6840110046.0), np.float64(6840110045.0), np.float64(6840110731.0), np.float64(6840110733.0), np.float64(6840110734.0), np.float64(6840110732.0)]",
6,-34.754407,-58.61456,"[np.float64(6427100912.0), np.float64(6427100911.0), np.float64(6427100914.0), np.float64(6427100910.0), np.float64(6427100913.0), np.float64(6427118672.0), np.float64(6427118671.0), np.float64(6427100915.0), np.float64(6427100909.0)]",
7,-34.589042,-58.372383,"[np.float64(204229.0), np.float64(204228.0), np.float64(204243.0), np.float64(204244.0), np.float64(204242.0), np.float64(204230.0), np.float64(204224.0), np.float64(204225.0), np.float64(204241.0), np.float64(204231.0), np.float64(204245.0), np.float64(204227.0), np.float64(204226.0)]",
8,-34.627755,-58.459395,"[np.float64(203137.0), np.float64(2031963.0), np.float64(203131.0), np.float64(203132.0), np.float64(207068.0), np.float64(2032595.0), np.float64(203133.0), np.float64(203134.0)]",
9,-34.66949,-58.411512,"[np.float64(6434103368.0), np.float64(6434103369.0), np.float64(6434126497.0), np.float64(6434100723.0), np.float64(6434100724.0), np.float64(6434104554.0), np.float64(6434104555.0)]",
10,-34.58957,-58.372438,"[np.float64(204247.0), np.float64(204248.0), np.float64(204246.0), np.float64(204249.0), np.float64(204250.0), np.float64(207295.0), np.float64(204251.0), np.float64(204252.0), np.float64(204232.0), np.float64(204240.0), np.float64(204223.0), np.float64(204222.0), np.float64(204233.0), np.float64(204239.0)]",
11,-34.40572,-58.597323,"[np.float64(6805125387.0), np.float64(6805125386.0), np.float64(6805103788.0), np.float64(6805103787.0), np.float64(6805103559.0), np.float64(6805103558.0), np.float64(6805114039.0), np.float64(6805114040.0)]",
